condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1rand_alpha_-0.5,exp3_alignment_behavior,behavior_match,0.5666666666666667,150,A1_rand,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-0.5,exp3_reasoning_em,contains_em,0.53,200,A1_rand,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-0.5,format_compliance_v2,compliance_rate,0.4725274725274725,182,A1_rand,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-0.5,mmlu_forced_choice,accuracy,0.5033333333333333,300,A1_rand,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-0.5,structural_token_ratio,ratio,0.050149526051012736,1400,A1_rand,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-1,exp3_alignment_behavior,behavior_match,0.58,150,A1_rand,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-1,exp3_reasoning_em,contains_em,0.525,200,A1_rand,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-1,format_compliance_v2,compliance_rate,0.4725274725274725,182,A1_rand,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-1,mmlu_forced_choice,accuracy,0.49666666666666665,300,A1_rand,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-1,structural_token_ratio,ratio,0.05031897729682577,1400,A1_rand,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-2,exp3_alignment_behavior,behavior_match,0.5933333333333334,150,A1_rand,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-2,exp3_reasoning_em,contains_em,0.52,200,A1_rand,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-2,format_compliance_v2,compliance_rate,0.4725274725274725,182,A1_rand,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-2,mmlu_forced_choice,accuracy,0.49666666666666665,300,A1_rand,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-2,structural_token_ratio,ratio,0.04989085975469552,1400,A1_rand,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-3,exp3_alignment_behavior,behavior_match,0.5866666666666667,150,A1_rand,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1rand_alpha_-3,exp3_reasoning_em,contains_em,0.55,200,A1_rand,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
