condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1mid_alpha_-0.5,exp3_alignment_behavior,behavior_match,0.6533333333333333,150,A1_mid,directional_remove,-0.5,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-0.5,exp3_reasoning_em,contains_em,0.015,200,A1_mid,directional_remove,-0.5,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-0.5,format_compliance_v2,compliance_rate,0.37362637362637363,182,A1_mid,directional_remove,-0.5,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-0.5,mmlu_forced_choice,accuracy,0.2833333333333333,300,A1_mid,directional_remove,-0.5,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-0.5,structural_token_ratio,ratio,0.017139734728353673,1400,A1_mid,directional_remove,-0.5,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-1,exp3_alignment_behavior,behavior_match,0.6533333333333333,150,A1_mid,directional_remove,-1.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-1,exp3_reasoning_em,contains_em,0.03,200,A1_mid,directional_remove,-1.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-1,format_compliance_v2,compliance_rate,0.32967032967032966,182,A1_mid,directional_remove,-1.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-1,mmlu_forced_choice,accuracy,0.20333333333333334,300,A1_mid,directional_remove,-1.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-1,structural_token_ratio,ratio,0.014007432869554281,1400,A1_mid,directional_remove,-1.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-2,exp3_alignment_behavior,behavior_match,0.6333333333333333,150,A1_mid,directional_remove,-2.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-2,exp3_reasoning_em,contains_em,0.02,200,A1_mid,directional_remove,-2.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-2,format_compliance_v2,compliance_rate,0.3241758241758242,182,A1_mid,directional_remove,-2.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-2,mmlu_forced_choice,accuracy,0.19666666666666666,300,A1_mid,directional_remove,-2.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-2,structural_token_ratio,ratio,0.012147719971102009,1400,A1_mid,directional_remove,-2.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-3,exp3_alignment_behavior,behavior_match,0.62,150,A1_mid,directional_remove,-3.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-3,exp3_reasoning_em,contains_em,0.04,200,A1_mid,directional_remove,-3.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-3,format_compliance_v2,compliance_rate,0.27071823204419887,181,A1_mid,directional_remove,-3.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-3,mmlu_forced_choice,accuracy,0.2,300,A1_mid,directional_remove,-3.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-3,structural_token_ratio,ratio,0.013399608919009615,1400,A1_mid,directional_remove,-3.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
