mode,pool,side,category,token,count,fraction_of_side_category
native,dense5,pt,CONTENT, C,137,0.19241573033707865
native,dense5,pt,CONTENT, D,126,0.17696629213483145
native,dense5,pt,CONTENT, B,97,0.13623595505617977
native,dense5,pt,CONTENT,B,45,0.06320224719101124
native,dense5,pt,CONTENT,<|end_of_text|>,41,0.05758426966292135
native,dense5,pt,CONTENT,D,33,0.046348314606741575
native,dense5,pt,CONTENT, Step,29,0.04073033707865169
native,dense5,pt,CONTENT,C,23,0.032303370786516857
native,dense5,pt,CONTENT,<|endoftext|>,19,0.026685393258426966
native,dense5,pt,CONTENT,Question,18,0.025280898876404494
native,dense5,pt,CONTENT, Use,11,0.01544943820224719
native,dense5,pt,CONTENT, Let,9,0.012640449438202247
native,dense5,pt,CONTENT, point,4,0.0056179775280898875
native,dense5,pt,CONTENT, Sally,3,0.004213483146067416
native,dense5,pt,CONTENT, Please,3,0.004213483146067416
native,dense5,pt,CONTENT, Additionally,3,0.004213483146067416
native,dense5,pt,CONTENT, Also,3,0.004213483146067416
native,dense5,pt,CONTENT, Thank,3,0.004213483146067416
native,dense5,pt,CONTENT, Option,2,0.0028089887640449437
native,dense5,pt,CONTENT, Ashley,2,0.0028089887640449437
native,dense5,it,FUNCTION_OTHER,The,807,0.4823670053795577
native,dense5,it,FUNCTION_OTHER,To,451,0.269575612671847
native,dense5,it,FUNCTION_OTHER,We,129,0.07710699342498506
native,dense5,it,FUNCTION_OTHER,Here,42,0.02510460251046025
native,dense5,it,FUNCTION_OTHER,A,32,0.019127316198445904
native,dense5,it,FUNCTION_OTHER,In,29,0.017334130304841603
native,dense5,it,FUNCTION_OTHER,If,18,0.010759115361625823
native,dense5,it,FUNCTION_OTHER,the,16,0.009563658099222952
native,dense5,it,FUNCTION_OTHER,(A,15,0.008965929468021518
native,dense5,it,FUNCTION_OTHER,I,11,0.00657501494321578
native,dense5,it,FUNCTION_OTHER,Each,11,0.00657501494321578
native,dense5,it,FUNCTION_OTHER,He,11,0.00657501494321578
native,dense5,it,FUNCTION_OTHER,There,7,0.0041841004184100415
native,dense5,it,FUNCTION_OTHER,On,7,0.0041841004184100415
native,dense5,it,FUNCTION_OTHER,are,6,0.0035863717872086074
native,dense5,it,FUNCTION_OTHER,in,6,0.0035863717872086074
native,dense5,it,FUNCTION_OTHER,is,5,0.002988643156007173
native,dense5,it,FUNCTION_OTHER,My,4,0.002390914524805738
native,dense5,it,FUNCTION_OTHER,a,4,0.002390914524805738
native,dense5,it,FUNCTION_OTHER,This,4,0.002390914524805738
native,dense5,pt,FORMAT, (,745,0.38541127780651835
native,dense5,pt,FORMAT, ,514,0.26590791515778583
native,dense5,pt,FORMAT,\n,240,0.12415933781686497
native,dense5,pt,FORMAT,,150,0.0775995861355406
native,dense5,pt,FORMAT, $,77,0.03983445421624418
native,dense5,pt,FORMAT,\n\n,73,0.03776513191929643
native,dense5,pt,FORMAT,$,48,0.024831867563372995
native,dense5,pt,FORMAT,(,30,0.015519917227108122
native,dense5,pt,FORMAT,.,22,0.011381272633212623
native,dense5,pt,FORMAT, First,8,0.004138644593895499
native,dense5,pt,FORMAT,.\n,4,0.0020693222969477496
native,dense5,pt,FORMAT,  ,4,0.0020693222969477496
native,dense5,pt,FORMAT, \n,3,0.0015519917227108122
native,dense5,pt,FORMAT," """,3,0.0015519917227108122
