token,context,classifier_label,human_label,agree
=,that $t_W = 4$ minutes.,PUNCTUATION,,
Section,"(Article I, Section 8, Clause",CONTENT,,
ಸ್ವಲ್ಪ,ಆದರೆ ಅದು ಸ್ವಲ್ಪ ಗೊಂದಲಕ್ಕೆ ಕಾರಣವಾಗಬಹುದು.,OTHER,,
the,goal amount the firefighters want,FUNCTION,,
[,"{ ""advantages"": [ ""Enhanced abilities",PUNCTUATION,,
as,natural state as much as,FUNCTION,,
//,"= request.getParameter(""username""); // Construct a",PUNCTUATION,,
=,* $1.50/time = $1.50 -,PUNCTUATION,,
–,or instructions – that tell,OTHER,,
While,* **(A)** While allocation is,FUNCTION,,
=,+ 20 =,PUNCTUATION,,
second,in the second scene. We,DISCOURSE,,
principle,a fundamental principle of real,CONTENT,,
=,\times 20 = 12$ miles.,PUNCTUATION,,
"**Therefore,","single individual. **Therefore, the answer",DISCOURSE,,
"Therefore,","*didn't* die. Therefore, there are",DISCOURSE,,
third,in the third round is,DISCOURSE,,
–,"(bullet train – seriously, it’s",OTHER,,
=,"So, $c = \frac{1}{2}C$. We",PUNCTUATION,,
affect,supply only affect the price,CONTENT,,
+,+ $3 + $4 =,STRUCTURAL,,
–,"the molecule – specifically, the",OTHER,,
{,function flattenArray(arr) { const result,PUNCTUATION,,
ਇੰਜੀਨੀਅਰ,ਰੇਖਾਵਾਂ ਸਾਫਟਵੇਅਰ ਇੰਜੀਨੀਅਰ ਦੀਆਂ ਤਕਨੀਕੀ,OTHER,,
your,**grid** transform your workflow! Contact,FUNCTION,,
=,"/ 1.464 = $17,134.63 *",PUNCTUATION,,
actually,its security actually make other,DISCOURSE,,
=,* 300 = 225. The,PUNCTUATION,,
"F/2,","H = F/2, so F",CONTENT,,
"frankly,","something that, frankly, has resonated",DISCOURSE,,
notably,"mechanisms, most notably **Major Histocompatibility",DISCOURSE,,
/,= 28 / 2 =,PUNCTUATION,,
Myths,* **Focus:** Myths primarily deal,CONTENT,,
∨,**(A) [(B ∨ D) •,OTHER,,
categorized,"a breakdown, categorized for clarity:",CONTENT,,
---,#style #iconic” --- would you,STRUCTURAL,,
break,IRS agent break up with,CONTENT,,
President,"incumbent Vice President Al Gore,",CONTENT,,
*,infants’ preference). * **(D) the,STRUCTURAL,,
=,be $T = 120$. Sam,PUNCTUATION,,
about,"woman *strategizes* about emojis."", ""estimated_net_worth"":",FUNCTION,,
–,a niche – a specific,OTHER,,
"First,","is $c$. First, we find",DISCOURSE,,
*,"about this."" * ""It makes",STRUCTURAL,,
/,Sleep (SWS) / Deep Sleep,PUNCTUATION,,
