condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A5aearly_baseline,exp3_alignment_behavior,behavior_match,0.58,150,A5a_early,none,1.0,0.0,[]
A5aearly_baseline,exp3_reasoning_em,contains_em,0.53,200,A5a_early,none,1.0,0.0,[]
A5aearly_baseline,format_compliance_v2,compliance_rate,0.4835164835164835,182,A5a_early,none,1.0,0.0,[]
A5aearly_baseline,mmlu_forced_choice,accuracy,0.5066666666666667,300,A5a_early,none,1.0,0.0,[]
A5aearly_baseline,structural_token_ratio,ratio,0.04936480542251297,1400,A5a_early,none,1.0,0.0,[]
A5aearly_skip_from_1,exp3_alignment_behavior,behavior_match,0.5,150,A5a_early,progressive_skip,1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A5aearly_skip_from_1,exp3_reasoning_em,contains_em,0.02,200,A5a_early,progressive_skip,1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A5aearly_skip_from_1,format_compliance_v2,compliance_rate,0.10989010989010989,182,A5a_early,progressive_skip,1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A5aearly_skip_from_1,mmlu_forced_choice,accuracy,0.14333333333333334,300,A5a_early,progressive_skip,1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A5aearly_skip_from_1,structural_token_ratio,ratio,0.020098142334527107,1400,A5a_early,progressive_skip,1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A5aearly_skip_from_10,exp3_alignment_behavior,behavior_match,0.9,150,A5a_early,progressive_skip,1.0,0.0,"[10, 11]"
A5aearly_skip_from_10,exp3_reasoning_em,contains_em,0.475,200,A5a_early,progressive_skip,1.0,0.0,"[10, 11]"
A5aearly_skip_from_10,format_compliance_v2,compliance_rate,0.3241758241758242,182,A5a_early,progressive_skip,1.0,0.0,"[10, 11]"
A5aearly_skip_from_10,mmlu_forced_choice,accuracy,0.27666666666666667,300,A5a_early,progressive_skip,1.0,0.0,"[10, 11]"
A5aearly_skip_from_10,structural_token_ratio,ratio,0.05427554552872621,1400,A5a_early,progressive_skip,1.0,0.0,"[10, 11]"
A5aearly_skip_from_11,exp3_alignment_behavior,behavior_match,0.7466666666666667,150,A5a_early,progressive_skip,1.0,0.0,[11]
A5aearly_skip_from_11,exp3_reasoning_em,contains_em,0.475,200,A5a_early,progressive_skip,1.0,0.0,[11]
A5aearly_skip_from_11,format_compliance_v2,compliance_rate,0.45054945054945056,182,A5a_early,progressive_skip,1.0,0.0,[11]
A5aearly_skip_from_11,mmlu_forced_choice,accuracy,0.4633333333333333,300,A5a_early,progressive_skip,1.0,0.0,[11]
