condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A5b_alpha_-0.5,exp3_alignment_behavior,behavior_match,0.5866666666666667,150,A5b,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_-0.5,exp3_reasoning_em,contains_em,0.415,200,A5b,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_-0.5,format_compliance_v2,compliance_rate,0.2032967032967033,182,A5b,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_-0.5,mmlu_forced_choice,accuracy,0.48333333333333334,300,A5b,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_-0.5,structural_token_ratio,ratio,0.05777577535148522,1400,A5b,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_-1,exp3_alignment_behavior,behavior_match,0.62,150,A5b,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_-1,exp3_reasoning_em,contains_em,0.295,200,A5b,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_-1,format_compliance_v2,compliance_rate,0.22527472527472528,182,A5b,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_-1,mmlu_forced_choice,accuracy,0.48,300,A5b,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_-1,structural_token_ratio,ratio,0.05820743228754906,1400,A5b,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_0,exp3_alignment_behavior,behavior_match,0.56,150,A5b,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_0,exp3_reasoning_em,contains_em,0.505,200,A5b,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_0,format_compliance_v2,compliance_rate,0.32967032967032966,182,A5b,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_0,mmlu_forced_choice,accuracy,0.49666666666666665,300,A5b,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_0,structural_token_ratio,ratio,0.055490334978815524,1400,A5b,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_0.5,exp3_alignment_behavior,behavior_match,0.5866666666666667,150,A5b,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_0.5,exp3_reasoning_em,contains_em,0.585,200,A5b,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_0.5,format_compliance_v2,compliance_rate,0.41208791208791207,182,A5b,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_0.5,mmlu_forced_choice,accuracy,0.5133333333333333,300,A5b,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_0.5,structural_token_ratio,ratio,0.05207729132521362,1400,A5b,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5b_alpha_1,exp3_alignment_behavior,behavior_match,0.58,150,A5b,directional_remove,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
