position_filter,position_label,axis,category,count,total,record_fraction
all,all positions,prompt_category,CONTENT-FACT,300,1397,0.2147458840372226
all,all positions,prompt_category,GOV-CONV,300,1397,0.2147458840372226
all,all positions,prompt_category,GOV-FORMAT,249,1397,0.17823908375089478
all,all positions,prompt_category,CONTENT-REASON,199,1397,0.14244810307802433
all,all positions,prompt_category,SAFETY,149,1397,0.1066571224051539
all,all positions,prompt_category,GOV-REGISTER,100,1397,0.07158196134574088
all,all positions,prompt_category,BASELINE-EASY,100,1397,0.07158196134574088
all,all positions,prompt_source,custom,406,1397,0.29062276306370793
all,all positions,prompt_source,MMLU,300,1397,0.2147458840372226
all,all positions,prompt_source,IFEval,249,1397,0.17823908375089478
all,all positions,prompt_source,GSM8K,199,1397,0.14244810307802433
all,all positions,prompt_source,MT-Bench,80,1397,0.0572655690765927
all,all positions,prompt_source,custom_safe,74,1397,0.052970651395848244
all,all positions,prompt_source,advbench,69,1397,0.049391553328561204
all,all positions,prompt_source,WildChat-style,20,1397,0.014316392269148175
all,all positions,it_token_category,CONTENT,645,1397,0.4617036506800286
all,all positions,it_token_category,FUNCTION_OTHER,530,1397,0.3793843951324266
all,all positions,it_token_category,FORMAT,222,1397,0.15891195418754475
all,all positions,pt_token_category,CONTENT,688,1397,0.4924838940586972
all,all positions,pt_token_category,FUNCTION_OTHER,531,1397,0.380100214745884
all,all positions,pt_token_category,FORMAT,178,1397,0.12741589119541877
step_0,position 0,prompt_category,GOV-FORMAT,145,542,0.26752767527675275
step_0,position 0,prompt_category,GOV-CONV,109,542,0.2011070110701107
step_0,position 0,prompt_category,CONTENT-REASON,101,542,0.1863468634686347
step_0,position 0,prompt_category,SAFETY,76,542,0.14022140221402213
step_0,position 0,prompt_category,CONTENT-FACT,71,542,0.13099630996309963
step_0,position 0,prompt_category,BASELINE-EASY,37,542,0.06826568265682657
step_0,position 0,prompt_category,GOV-REGISTER,3,542,0.005535055350553505
step_0,position 0,prompt_source,IFEval,145,542,0.26752767527675275
step_0,position 0,prompt_source,custom,106,542,0.19557195571955718
step_0,position 0,prompt_source,GSM8K,101,542,0.1863468634686347
step_0,position 0,prompt_source,MMLU,71,542,0.13099630996309963
step_0,position 0,prompt_source,advbench,40,542,0.07380073800738007
step_0,position 0,prompt_source,MT-Bench,34,542,0.06273062730627306
step_0,position 0,prompt_source,custom_safe,33,542,0.06088560885608856
step_0,position 0,prompt_source,WildChat-style,12,542,0.02214022140221402
step_0,position 0,it_token_category,FUNCTION_OTHER,277,542,0.511070110701107
step_0,position 0,it_token_category,CONTENT,181,542,0.3339483394833948
step_0,position 0,it_token_category,FORMAT,84,542,0.15498154981549817
step_0,position 0,pt_token_category,FUNCTION_OTHER,259,542,0.477859778597786
step_0,position 0,pt_token_category,CONTENT,213,542,0.3929889298892989
step_0,position 0,pt_token_category,FORMAT,70,542,0.12915129151291513
step_ge1,positions >=1,prompt_category,CONTENT-FACT,229,855,0.26783625730994154
step_ge1,positions >=1,prompt_category,GOV-CONV,191,855,0.22339181286549709
step_ge1,positions >=1,prompt_category,GOV-FORMAT,104,855,0.1216374269005848
step_ge1,positions >=1,prompt_category,CONTENT-REASON,98,855,0.11461988304093568
step_ge1,positions >=1,prompt_category,GOV-REGISTER,97,855,0.11345029239766082
step_ge1,positions >=1,prompt_category,SAFETY,73,855,0.08538011695906433
step_ge1,positions >=1,prompt_category,BASELINE-EASY,63,855,0.07368421052631578
