condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1_alpha_-0.5,exp3_alignment_behavior,behavior_match,0.5866666666666667,150,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,exp3_reasoning_em,contains_em,0.415,200,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,format_compliance_v2,compliance_rate,0.2032967032967033,182,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,mmlu_forced_choice,accuracy,0.48333333333333334,300,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,structural_token_ratio,ratio,0.05777577535148522,1400,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,exp3_alignment_behavior,behavior_match,0.62,150,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,exp3_reasoning_em,contains_em,0.295,200,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,format_compliance_v2,compliance_rate,0.22527472527472528,182,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,mmlu_forced_choice,accuracy,0.48,300,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,structural_token_ratio,ratio,0.05820743228754906,1400,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,exp3_alignment_behavior,behavior_match,0.52,150,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,exp3_reasoning_em,contains_em,0.11,200,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,format_compliance_v2,compliance_rate,0.18681318681318682,182,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,mmlu_forced_choice,accuracy,0.49,300,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,structural_token_ratio,ratio,0.08286607812255417,1400,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,exp3_alignment_behavior,behavior_match,0.5066666666666667,150,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,exp3_reasoning_em,contains_em,0.045,200,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,format_compliance_v2,compliance_rate,0.16483516483516483,182,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,mmlu_forced_choice,accuracy,0.49,300,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,structural_token_ratio,ratio,0.11532051125805395,1400,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,exp3_alignment_behavior,behavior_match,0.52,150,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,exp3_reasoning_em,contains_em,0.02,200,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,format_compliance_v2,compliance_rate,0.17582417582417584,182,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,mmlu_forced_choice,accuracy,0.45,300,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,structural_token_ratio,ratio,0.07420124863328822,1400,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0,exp3_alignment_behavior,behavior_match,0.56,150,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0,exp3_reasoning_em,contains_em,0.505,200,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0,format_compliance_v2,compliance_rate,0.32967032967032966,182,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0,mmlu_forced_choice,accuracy,0.49666666666666665,300,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0,structural_token_ratio,ratio,0.055490334978815524,1400,A1,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.25,exp3_alignment_behavior,behavior_match,0.5733333333333334,150,A1,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
