condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A5amid_baseline,exp3_alignment_behavior,behavior_match,0.58,150,A5a_mid,none,1.0,0.0,[]
A5amid_baseline,exp3_reasoning_em,contains_em,0.53,200,A5a_mid,none,1.0,0.0,[]
A5amid_baseline,format_compliance_v2,compliance_rate,0.4835164835164835,182,A5a_mid,none,1.0,0.0,[]
A5amid_baseline,mmlu_forced_choice,accuracy,0.5066666666666667,300,A5a_mid,none,1.0,0.0,[]
A5amid_baseline,structural_token_ratio,ratio,0.04936480542251297,1400,A5a_mid,none,1.0,0.0,[]
A5amid_skip_from_12,exp3_alignment_behavior,behavior_match,0.54,150,A5a_mid,progressive_skip,1.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A5amid_skip_from_12,exp3_reasoning_em,contains_em,0.015,200,A5a_mid,progressive_skip,1.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A5amid_skip_from_12,format_compliance_v2,compliance_rate,0.1978021978021978,182,A5a_mid,progressive_skip,1.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A5amid_skip_from_12,mmlu_forced_choice,accuracy,0.12333333333333334,300,A5a_mid,progressive_skip,1.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A5amid_skip_from_12,structural_token_ratio,ratio,0.21453660584356707,1400,A5a_mid,progressive_skip,1.0,0.0,"[12, 13, 14, 15, 16, 17, 18, 19]"
A5amid_skip_from_13,exp3_alignment_behavior,behavior_match,0.5466666666666666,150,A5a_mid,progressive_skip,1.0,0.0,"[13, 14, 15, 16, 17, 18, 19]"
A5amid_skip_from_13,exp3_reasoning_em,contains_em,0.025,200,A5a_mid,progressive_skip,1.0,0.0,"[13, 14, 15, 16, 17, 18, 19]"
A5amid_skip_from_13,format_compliance_v2,compliance_rate,0.12637362637362637,182,A5a_mid,progressive_skip,1.0,0.0,"[13, 14, 15, 16, 17, 18, 19]"
A5amid_skip_from_13,mmlu_forced_choice,accuracy,0.16333333333333333,300,A5a_mid,progressive_skip,1.0,0.0,"[13, 14, 15, 16, 17, 18, 19]"
A5amid_skip_from_13,structural_token_ratio,ratio,0.06750292284817601,1400,A5a_mid,progressive_skip,1.0,0.0,"[13, 14, 15, 16, 17, 18, 19]"
A5amid_skip_from_14,exp3_alignment_behavior,behavior_match,0.6,150,A5a_mid,progressive_skip,1.0,0.0,"[14, 15, 16, 17, 18, 19]"
A5amid_skip_from_14,exp3_reasoning_em,contains_em,0.045,200,A5a_mid,progressive_skip,1.0,0.0,"[14, 15, 16, 17, 18, 19]"
A5amid_skip_from_14,format_compliance_v2,compliance_rate,0.12637362637362637,182,A5a_mid,progressive_skip,1.0,0.0,"[14, 15, 16, 17, 18, 19]"
A5amid_skip_from_14,mmlu_forced_choice,accuracy,0.18,300,A5a_mid,progressive_skip,1.0,0.0,"[14, 15, 16, 17, 18, 19]"
A5amid_skip_from_14,structural_token_ratio,ratio,0.015754332534534364,1400,A5a_mid,progressive_skip,1.0,0.0,"[14, 15, 16, 17, 18, 19]"
A5amid_skip_from_15,exp3_alignment_behavior,behavior_match,0.5333333333333333,150,A5a_mid,progressive_skip,1.0,0.0,"[15, 16, 17, 18, 19]"
A5amid_skip_from_15,exp3_reasoning_em,contains_em,0.02,200,A5a_mid,progressive_skip,1.0,0.0,"[15, 16, 17, 18, 19]"
A5amid_skip_from_15,format_compliance_v2,compliance_rate,0.15934065934065933,182,A5a_mid,progressive_skip,1.0,0.0,"[15, 16, 17, 18, 19]"
A5amid_skip_from_15,mmlu_forced_choice,accuracy,0.2,300,A5a_mid,progressive_skip,1.0,0.0,"[15, 16, 17, 18, 19]"
