condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1mid_baseline,structural_token_ratio,ratio,0.039604876968676234,979,A1_mid,none,1.0,0.0,[]
A1mid_baseline,mmlu_accuracy,accuracy,0.56,150,A1_mid,none,1.0,0.0,[]
A1mid_baseline,exp3_reasoning_em,contains_em,0.5,100,A1_mid,none,1.0,0.0,[]
A1mid_alpha_0,structural_token_ratio,ratio,0.041477798119263894,979,A1_mid,directional_remove,0.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_0,mmlu_accuracy,accuracy,0.36,150,A1_mid,directional_remove,0.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_0,exp3_reasoning_em,contains_em,0.17,100,A1_mid,directional_remove,0.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_5,structural_token_ratio,ratio,0.03940808627695736,979,A1_mid,directional_remove,5.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_5,mmlu_accuracy,accuracy,0.16,150,A1_mid,directional_remove,5.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_5,exp3_reasoning_em,contains_em,0.06,100,A1_mid,directional_remove,5.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-0.5,structural_token_ratio,ratio,0.029842936487019644,979,A1_mid,directional_remove,-0.5,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-0.5,mmlu_accuracy,accuracy,0.17333333333333334,150,A1_mid,directional_remove,-0.5,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-0.5,exp3_reasoning_em,contains_em,0.03,100,A1_mid,directional_remove,-0.5,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_3,structural_token_ratio,ratio,0.04332009332170252,979,A1_mid,directional_remove,3.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_3,mmlu_accuracy,accuracy,0.3933333333333333,150,A1_mid,directional_remove,3.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_3,exp3_reasoning_em,contains_em,0.19,100,A1_mid,directional_remove,3.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-1,structural_token_ratio,ratio,0.031685762652195124,979,A1_mid,directional_remove,-1.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-1,mmlu_accuracy,accuracy,0.15333333333333332,150,A1_mid,directional_remove,-1.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-1,exp3_reasoning_em,contains_em,0.0,100,A1_mid,directional_remove,-1.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_2,structural_token_ratio,ratio,0.04455926161869182,979,A1_mid,directional_remove,2.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_2,mmlu_accuracy,accuracy,0.49333333333333335,150,A1_mid,directional_remove,2.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_2,exp3_reasoning_em,contains_em,0.47,100,A1_mid,directional_remove,2.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-2,structural_token_ratio,ratio,0.02271577304932435,979,A1_mid,directional_remove,-2.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-2,mmlu_accuracy,accuracy,0.14666666666666667,150,A1_mid,directional_remove,-2.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_-2,exp3_reasoning_em,contains_em,0.01,100,A1_mid,directional_remove,-2.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_1,structural_token_ratio,ratio,0.039604876968676234,979,A1_mid,directional_remove,1.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
A1mid_alpha_1,mmlu_accuracy,accuracy,0.56,150,A1_mid,directional_remove,1.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
