condition,benchmark,metric,value,n,experiment,method,gamma,feature_set,feature_layer_range,alpha,beta,layers
B4_early_20_25_g0,structural_token_ratio,ratio,0.04572435058328711,979,B4,feature_clamp,0.0,method12_top100,early_20_25,,,
B4_early_20_25_g0,mmlu_accuracy,accuracy,0.4533333333333333,150,B4,feature_clamp,0.0,method12_top100,early_20_25,,,
B4_early_20_25_g0,exp3_reasoning_em,contains_em,0.33,100,B4,feature_clamp,0.0,method12_top100,early_20_25,,,
B4_late_30_33_g0,structural_token_ratio,ratio,0.041473527228749765,979,B4,feature_clamp,0.0,method12_top100,late_30_33,,,
B4_late_30_33_g0,mmlu_accuracy,accuracy,0.56,150,B4,feature_clamp,0.0,method12_top100,late_30_33,,,
B4_late_30_33_g0,exp3_reasoning_em,contains_em,0.47,100,B4,feature_clamp,0.0,method12_top100,late_30_33,,,
B4_early_20_25_g5,structural_token_ratio,ratio,0.027428852589144764,979,B4,feature_clamp,5.0,method12_top100,early_20_25,,,
B4_early_20_25_g5,mmlu_accuracy,accuracy,0.46,150,B4,feature_clamp,5.0,method12_top100,early_20_25,,,
B4_early_20_25_g5,exp3_reasoning_em,contains_em,0.32,100,B4,feature_clamp,5.0,method12_top100,early_20_25,,,
B4_late_30_33_g5,structural_token_ratio,ratio,0.04216379607094881,979,B4,feature_clamp,5.0,method12_top100,late_30_33,,,
B4_late_30_33_g5,mmlu_accuracy,accuracy,0.5333333333333333,150,B4,feature_clamp,5.0,method12_top100,late_30_33,,,
B4_late_30_33_g5,exp3_reasoning_em,contains_em,0.5,100,B4,feature_clamp,5.0,method12_top100,late_30_33,,,
B4_mid_26_29_g0,structural_token_ratio,ratio,0.03863364248936833,979,B4,feature_clamp,0.0,method12_top100,mid_26_29,,,
B4_mid_26_29_g0,mmlu_accuracy,accuracy,0.56,150,B4,feature_clamp,0.0,method12_top100,mid_26_29,,,
B4_mid_26_29_g0,exp3_reasoning_em,contains_em,0.52,100,B4,feature_clamp,0.0,method12_top100,mid_26_29,,,
B4_mid_26_29_g5,structural_token_ratio,ratio,0.03851872427124482,979,B4,feature_clamp,5.0,method12_top100,mid_26_29,,,
B4_mid_26_29_g5,mmlu_accuracy,accuracy,0.5533333333333333,150,B4,feature_clamp,5.0,method12_top100,mid_26_29,,,
B4_mid_26_29_g5,exp3_reasoning_em,contains_em,0.52,100,B4,feature_clamp,5.0,method12_top100,mid_26_29,,,
B4_early_20_25_g0,format_compliance,compliance,0.5972222222222222,72,B4,feature_clamp,,,,,,
B4_late_30_33_g0,format_compliance,compliance,0.5972222222222222,72,B4,feature_clamp,,,,,,
B4_early_20_25_g5,format_compliance,compliance,0.5138888888888888,72,B4,feature_clamp,,,,,,
B4_late_30_33_g5,format_compliance,compliance,0.5972222222222222,72,B4,feature_clamp,,,,,,
B4_mid_26_29_g0,format_compliance,compliance,0.5972222222222222,72,B4,feature_clamp,,,,,,
B4_mid_26_29_g5,format_compliance,compliance,0.6111111111111112,72,B4,feature_clamp,,,,,,
B4_early_20_25_g0,exp3_alignment_behavior,behavior_match,0.72,100,B4,feature_clamp,,,,,,
B4_late_30_33_g0,exp3_alignment_behavior,behavior_match,0.56,100,B4,feature_clamp,,,,,,
B4_early_20_25_g5,exp3_alignment_behavior,behavior_match,0.65,100,B4,feature_clamp,,,,,,
B4_late_30_33_g5,exp3_alignment_behavior,behavior_match,0.57,100,B4,feature_clamp,,,,,,
B4_mid_26_29_g0,exp3_alignment_behavior,behavior_match,0.59,100,B4,feature_clamp,,,,,,
B4_mid_26_29_g5,exp3_alignment_behavior,behavior_match,0.56,100,B4,feature_clamp,,,,,,
B4_early_20_25_g0,coherent_assistant_rate,rate,0.9540347293156282,979,B4,feature_clamp,,,,,,
B4_late_30_33_g0,coherent_assistant_rate,rate,0.933605720122574,979,B4,feature_clamp,,,,,,
B4_early_20_25_g5,coherent_assistant_rate,rate,0.5648621041879469,979,B4,feature_clamp,,,,,,
B4_late_30_33_g5,coherent_assistant_rate,rate,0.9325842696629213,979,B4,feature_clamp,,,,,,
B4_mid_26_29_g0,coherent_assistant_rate,rate,0.9131767109295199,979,B4,feature_clamp,,,,,,
B4_mid_26_29_g5,coherent_assistant_rate,rate,0.9182839632277835,979,B4,feature_clamp,,,,,,
