condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A5anotmpl_baseline,exp3_alignment_behavior,behavior_match,0.9333333333333333,300,A5a_notmpl,none,1.0,0.0,[]
A5anotmpl_baseline,exp3_reasoning_em,contains_em,0.535,400,A5a_notmpl,none,1.0,0.0,[]
A5anotmpl_baseline,format_compliance_v2,compliance_rate,0.5384615384615384,364,A5a_notmpl,none,1.0,0.0,[]
A5anotmpl_baseline,mmlu_forced_choice,accuracy,0.5066666666666667,600,A5a_notmpl,none,1.0,0.0,[]
A5anotmpl_baseline,structural_token_ratio,ratio,0.04687009192264125,2800,A5a_notmpl,none,1.0,0.0,[]
A5anotmpl_skip_from_20,exp3_alignment_behavior,behavior_match,0.82,150,A5a_notmpl,progressive_skip,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_20,exp3_reasoning_em,contains_em,0.0,400,A5a_notmpl,progressive_skip,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_20,format_compliance_v2,compliance_rate,0.25274725274725274,364,A5a_notmpl,progressive_skip,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_20,mmlu_forced_choice,accuracy,0.13333333333333333,600,A5a_notmpl,progressive_skip,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_20,structural_token_ratio,ratio,0.01834065489344005,2800,A5a_notmpl,progressive_skip,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_21,exp3_alignment_behavior,behavior_match,0.8733333333333333,300,A5a_notmpl,progressive_skip,1.0,0.0,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_21,exp3_reasoning_em,contains_em,0.01,400,A5a_notmpl,progressive_skip,1.0,0.0,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_21,format_compliance_v2,compliance_rate,0.25824175824175827,364,A5a_notmpl,progressive_skip,1.0,0.0,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_21,mmlu_forced_choice,accuracy,0.20333333333333334,600,A5a_notmpl,progressive_skip,1.0,0.0,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_21,structural_token_ratio,ratio,0.02556385057908741,2800,A5a_notmpl,progressive_skip,1.0,0.0,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_22,exp3_alignment_behavior,behavior_match,0.9,300,A5a_notmpl,progressive_skip,1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_22,exp3_reasoning_em,contains_em,0.03,400,A5a_notmpl,progressive_skip,1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_22,format_compliance_v2,compliance_rate,0.23626373626373626,364,A5a_notmpl,progressive_skip,1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_22,mmlu_forced_choice,accuracy,0.25333333333333335,600,A5a_notmpl,progressive_skip,1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_22,structural_token_ratio,ratio,0.031178141288335022,2800,A5a_notmpl,progressive_skip,1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_23,exp3_alignment_behavior,behavior_match,0.92,150,A5a_notmpl,progressive_skip,1.0,0.0,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_23,exp3_reasoning_em,contains_em,0.065,400,A5a_notmpl,progressive_skip,1.0,0.0,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_23,format_compliance_v2,compliance_rate,0.19230769230769232,364,A5a_notmpl,progressive_skip,1.0,0.0,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_23,mmlu_forced_choice,accuracy,0.19333333333333333,600,A5a_notmpl,progressive_skip,1.0,0.0,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_23,structural_token_ratio,ratio,0.03882586483789363,2800,A5a_notmpl,progressive_skip,1.0,0.0,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_24,exp3_alignment_behavior,behavior_match,0.9133333333333333,150,A5a_notmpl,progressive_skip,1.0,0.0,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_24,exp3_reasoning_em,contains_em,0.095,400,A5a_notmpl,progressive_skip,1.0,0.0,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_24,format_compliance_v2,compliance_rate,0.24725274725274726,364,A5a_notmpl,progressive_skip,1.0,0.0,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_24,mmlu_forced_choice,accuracy,0.51,600,A5a_notmpl,progressive_skip,1.0,0.0,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_24,structural_token_ratio,ratio,0.05050934232669166,2800,A5a_notmpl,progressive_skip,1.0,0.0,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5anotmpl_skip_from_25,exp3_alignment_behavior,behavior_match,0.9266666666666666,300,A5a_notmpl,progressive_skip,1.0,0.0,"[25, 26, 27, 28, 29, 30, 31, 32, 33]"
