condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1_alpha_-0.5,exp3_alignment_behavior,behavior_match,0.6066666666666667,300,A1,directional_remove,-0.5,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,exp3_reasoning_em,contains_em,0.525,400,A1,directional_remove,-0.5,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,format_compliance_v2,compliance_rate,0.2802197802197802,182,A1,directional_remove,-0.5,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,mmlu_forced_choice,accuracy,0.49,300,A1,directional_remove,-0.5,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,structural_token_ratio,ratio,0.08585588739547048,1400,A1,directional_remove,-0.5,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,exp3_alignment_behavior,behavior_match,0.6066666666666667,300,A1,directional_remove,-1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,exp3_reasoning_em,contains_em,0.46,400,A1,directional_remove,-1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,format_compliance_v2,compliance_rate,0.25274725274725274,182,A1,directional_remove,-1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,mmlu_forced_choice,accuracy,0.5,300,A1,directional_remove,-1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,structural_token_ratio,ratio,0.1120133267174171,1400,A1,directional_remove,-1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,exp3_alignment_behavior,behavior_match,0.6133333333333333,300,A1,directional_remove,-2.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,exp3_reasoning_em,contains_em,0.36,400,A1,directional_remove,-2.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,format_compliance_v2,compliance_rate,0.24861878453038674,181,A1,directional_remove,-2.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,mmlu_forced_choice,accuracy,0.5,300,A1,directional_remove,-2.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,structural_token_ratio,ratio,0.14315668026817263,1400,A1,directional_remove,-2.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,exp3_alignment_behavior,behavior_match,0.6266666666666667,300,A1,directional_remove,-3.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,exp3_reasoning_em,contains_em,0.21,400,A1,directional_remove,-3.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,format_compliance_v2,compliance_rate,0.25274725274725274,182,A1,directional_remove,-3.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,mmlu_forced_choice,accuracy,0.52,300,A1,directional_remove,-3.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,structural_token_ratio,ratio,0.1062343191834416,1400,A1,directional_remove,-3.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,exp3_alignment_behavior,behavior_match,0.6933333333333334,300,A1,directional_remove,-5.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
