condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1early_alpha_-0.5,exp3_alignment_behavior,behavior_match,0.5066666666666667,150,A1_early,directional_remove,-0.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-0.5,exp3_reasoning_em,contains_em,0.015,200,A1_early,directional_remove,-0.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-0.5,format_compliance_v2,compliance_rate,0.18181818181818182,176,A1_early,directional_remove,-0.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-0.5,mmlu_forced_choice,accuracy,0.15666666666666668,300,A1_early,directional_remove,-0.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-0.5,structural_token_ratio,ratio,0.010363127290068077,1400,A1_early,directional_remove,-0.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-1,exp3_alignment_behavior,behavior_match,0.5066666666666667,150,A1_early,directional_remove,-1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-1,exp3_reasoning_em,contains_em,0.005,200,A1_early,directional_remove,-1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-1,format_compliance_v2,compliance_rate,0.16883116883116883,154,A1_early,directional_remove,-1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-1,mmlu_forced_choice,accuracy,0.10666666666666667,300,A1_early,directional_remove,-1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-1,structural_token_ratio,ratio,0.023442660321054524,1400,A1_early,directional_remove,-1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-2,exp3_alignment_behavior,behavior_match,0.5,150,A1_early,directional_remove,-2.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-2,exp3_reasoning_em,contains_em,0.005,200,A1_early,directional_remove,-2.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-2,format_compliance_v2,compliance_rate,0.24299065420560748,107,A1_early,directional_remove,-2.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-2,mmlu_forced_choice,accuracy,0.12,300,A1_early,directional_remove,-2.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-2,structural_token_ratio,ratio,0.14406055776044516,1400,A1_early,directional_remove,-2.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-3,exp3_alignment_behavior,behavior_match,0.49333333333333335,150,A1_early,directional_remove,-3.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-3,exp3_reasoning_em,contains_em,0.0,200,A1_early,directional_remove,-3.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-3,format_compliance_v2,compliance_rate,0.22099447513812154,181,A1_early,directional_remove,-3.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-3,mmlu_forced_choice,accuracy,0.1,300,A1_early,directional_remove,-3.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-3,structural_token_ratio,ratio,0.5018412424768186,1400,A1_early,directional_remove,-3.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-5,exp3_alignment_behavior,behavior_match,0.5,150,A1_early,directional_remove,-5.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-5,exp3_reasoning_em,contains_em,0.0,200,A1_early,directional_remove,-5.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-5,format_compliance_v2,compliance_rate,0.25903614457831325,166,A1_early,directional_remove,-5.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-5,mmlu_forced_choice,accuracy,0.05333333333333334,300,A1_early,directional_remove,-5.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_-5,structural_token_ratio,ratio,0.5540803537783944,1400,A1_early,directional_remove,-5.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0,exp3_alignment_behavior,behavior_match,0.7933333333333333,150,A1_early,directional_remove,0.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0,exp3_reasoning_em,contains_em,0.095,200,A1_early,directional_remove,0.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0,format_compliance_v2,compliance_rate,0.3791208791208791,182,A1_early,directional_remove,0.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0,mmlu_forced_choice,accuracy,0.22666666666666666,300,A1_early,directional_remove,0.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0,structural_token_ratio,ratio,0.03988588984919942,1400,A1_early,directional_remove,0.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.25,exp3_alignment_behavior,behavior_match,0.64,150,A1_early,directional_remove,0.25,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.25,exp3_reasoning_em,contains_em,0.415,200,A1_early,directional_remove,0.25,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.25,format_compliance_v2,compliance_rate,0.43956043956043955,182,A1_early,directional_remove,0.25,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.25,mmlu_forced_choice,accuracy,0.3333333333333333,300,A1_early,directional_remove,0.25,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.25,structural_token_ratio,ratio,0.04779418424903721,1400,A1_early,directional_remove,0.25,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.5,exp3_alignment_behavior,behavior_match,0.5933333333333334,150,A1_early,directional_remove,0.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.5,exp3_reasoning_em,contains_em,0.49,200,A1_early,directional_remove,0.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.5,format_compliance_v2,compliance_rate,0.489010989010989,182,A1_early,directional_remove,0.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.5,mmlu_forced_choice,accuracy,0.49333333333333335,300,A1_early,directional_remove,0.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.5,structural_token_ratio,ratio,0.04917641665332685,1400,A1_early,directional_remove,0.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.75,exp3_alignment_behavior,behavior_match,0.5733333333333334,150,A1_early,directional_remove,0.75,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.75,exp3_reasoning_em,contains_em,0.505,200,A1_early,directional_remove,0.75,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.75,format_compliance_v2,compliance_rate,0.4725274725274725,182,A1_early,directional_remove,0.75,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.75,mmlu_forced_choice,accuracy,0.5133333333333333,300,A1_early,directional_remove,0.75,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_0.75,structural_token_ratio,ratio,0.0487855307316465,1400,A1_early,directional_remove,0.75,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_1,exp3_alignment_behavior,behavior_match,0.58,150,A1_early,directional_remove,1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_1,exp3_reasoning_em,contains_em,0.53,200,A1_early,directional_remove,1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_1,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_early,directional_remove,1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_1,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_early,directional_remove,1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_1,structural_token_ratio,ratio,0.04936480542251297,1400,A1_early,directional_remove,1.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_1.5,exp3_alignment_behavior,behavior_match,0.6266666666666667,150,A1_early,directional_remove,1.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_1.5,exp3_reasoning_em,contains_em,0.615,200,A1_early,directional_remove,1.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_1.5,format_compliance_v2,compliance_rate,0.489010989010989,182,A1_early,directional_remove,1.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_1.5,mmlu_forced_choice,accuracy,0.49666666666666665,300,A1_early,directional_remove,1.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_1.5,structural_token_ratio,ratio,0.0526939221855499,1400,A1_early,directional_remove,1.5,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_2,exp3_alignment_behavior,behavior_match,0.82,150,A1_early,directional_remove,2.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_2,exp3_reasoning_em,contains_em,0.585,200,A1_early,directional_remove,2.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_2,format_compliance_v2,compliance_rate,0.5,182,A1_early,directional_remove,2.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_2,mmlu_forced_choice,accuracy,0.38,300,A1_early,directional_remove,2.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_2,structural_token_ratio,ratio,0.05656665663070798,1400,A1_early,directional_remove,2.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
A1early_alpha_3,exp3_alignment_behavior,behavior_match,0.8,150,A1_early,directional_remove,3.0,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
