condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1notmpl_alpha_-0.5,exp3_alignment_behavior,behavior_match,0.8333333333333334,150,A1_notmpl,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-0.5,exp3_reasoning_em,contains_em,0.475,200,A1_notmpl,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-0.5,format_compliance_v2,compliance_rate,0.15934065934065933,182,A1_notmpl,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-0.5,mmlu_forced_choice,accuracy,0.48333333333333334,300,A1_notmpl,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-0.5,structural_token_ratio,ratio,0.08740765366098771,1400,A1_notmpl,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-1,exp3_alignment_behavior,behavior_match,0.78,150,A1_notmpl,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-1,exp3_reasoning_em,contains_em,0.34,200,A1_notmpl,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-1,format_compliance_v2,compliance_rate,0.12637362637362637,182,A1_notmpl,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-1,mmlu_forced_choice,accuracy,0.48,300,A1_notmpl,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-1,structural_token_ratio,ratio,0.08644154067215186,1400,A1_notmpl,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-2,exp3_alignment_behavior,behavior_match,0.68,150,A1_notmpl,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-2,exp3_reasoning_em,contains_em,0.115,200,A1_notmpl,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-2,format_compliance_v2,compliance_rate,0.19337016574585636,181,A1_notmpl,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-2,mmlu_forced_choice,accuracy,0.49,300,A1_notmpl,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-2,structural_token_ratio,ratio,0.12499413249275523,1400,A1_notmpl,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-3,exp3_alignment_behavior,behavior_match,0.5066666666666667,150,A1_notmpl,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-3,exp3_reasoning_em,contains_em,0.05,200,A1_notmpl,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-3,format_compliance_v2,compliance_rate,0.16574585635359115,181,A1_notmpl,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-3,mmlu_forced_choice,accuracy,0.49,300,A1_notmpl,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-3,structural_token_ratio,ratio,0.14198847282164265,1400,A1_notmpl,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-5,exp3_alignment_behavior,behavior_match,0.5133333333333333,150,A1_notmpl,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-5,exp3_reasoning_em,contains_em,0.055,200,A1_notmpl,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-5,format_compliance_v2,compliance_rate,0.16022099447513813,181,A1_notmpl,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-5,mmlu_forced_choice,accuracy,0.45,300,A1_notmpl,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_-5,structural_token_ratio,ratio,0.09550953448096611,1400,A1_notmpl,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0,exp3_alignment_behavior,behavior_match,0.9333333333333333,150,A1_notmpl,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0,exp3_reasoning_em,contains_em,0.555,200,A1_notmpl,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0,format_compliance_v2,compliance_rate,0.2967032967032967,182,A1_notmpl,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0,mmlu_forced_choice,accuracy,0.49666666666666665,300,A1_notmpl,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0,structural_token_ratio,ratio,0.07893967650185504,1400,A1_notmpl,directional_remove,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.25,exp3_alignment_behavior,behavior_match,0.9066666666666666,150,A1_notmpl,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.25,exp3_reasoning_em,contains_em,0.55,200,A1_notmpl,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.25,format_compliance_v2,compliance_rate,0.37222222222222223,180,A1_notmpl,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.25,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_notmpl,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.25,structural_token_ratio,ratio,0.06262775163166207,1400,A1_notmpl,directional_remove,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.5,exp3_alignment_behavior,behavior_match,0.9333333333333333,150,A1_notmpl,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.5,exp3_reasoning_em,contains_em,0.525,200,A1_notmpl,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.5,format_compliance_v2,compliance_rate,0.5164835164835165,182,A1_notmpl,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.5,mmlu_forced_choice,accuracy,0.5133333333333333,300,A1_notmpl,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.5,structural_token_ratio,ratio,0.054368624319930274,1400,A1_notmpl,directional_remove,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.75,exp3_alignment_behavior,behavior_match,0.92,150,A1_notmpl,directional_remove,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.75,exp3_reasoning_em,contains_em,0.585,200,A1_notmpl,directional_remove,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.75,format_compliance_v2,compliance_rate,0.5,182,A1_notmpl,directional_remove,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1notmpl_alpha_0.75,mmlu_forced_choice,accuracy,0.5033333333333333,300,A1_notmpl,directional_remove,0.75,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
