condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1early_baseline,structural_token_ratio,ratio,0.039604876968676234,979,A1_early,none,1.0,0.0,[]
A1early_baseline,mmlu_accuracy,accuracy,0.56,150,A1_early,none,1.0,0.0,[]
A1early_baseline,exp3_reasoning_em,contains_em,0.5,100,A1_early,none,1.0,0.0,[]
A1early_alpha_0,structural_token_ratio,ratio,0.04714093094789948,979,A1_early,directional_remove,0.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_0,mmlu_accuracy,accuracy,0.29333333333333333,150,A1_early,directional_remove,0.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_0,exp3_reasoning_em,contains_em,0.26,100,A1_early,directional_remove,0.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_5,structural_token_ratio,ratio,0.05166385265544229,979,A1_early,directional_remove,5.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_5,mmlu_accuracy,accuracy,0.06,150,A1_early,directional_remove,5.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_5,exp3_reasoning_em,contains_em,0.0,100,A1_early,directional_remove,5.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_-0.5,structural_token_ratio,ratio,0.005624600129133238,979,A1_early,directional_remove,-0.5,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_-0.5,mmlu_accuracy,accuracy,0.16666666666666666,150,A1_early,directional_remove,-0.5,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_-0.5,exp3_reasoning_em,contains_em,0.04,100,A1_early,directional_remove,-0.5,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_3,structural_token_ratio,ratio,0.048188361513314834,979,A1_early,directional_remove,3.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_3,mmlu_accuracy,accuracy,0.31333333333333335,150,A1_early,directional_remove,3.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_3,exp3_reasoning_em,contains_em,0.34,100,A1_early,directional_remove,3.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_-1,structural_token_ratio,ratio,0.015986101330755603,979,A1_early,directional_remove,-1.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_-1,mmlu_accuracy,accuracy,0.10666666666666667,150,A1_early,directional_remove,-1.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_-1,exp3_reasoning_em,contains_em,0.04,100,A1_early,directional_remove,-1.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_2,structural_token_ratio,ratio,0.04237903836147314,979,A1_early,directional_remove,2.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_2,mmlu_accuracy,accuracy,0.44,150,A1_early,directional_remove,2.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_2,exp3_reasoning_em,contains_em,0.52,100,A1_early,directional_remove,2.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_-2,structural_token_ratio,ratio,0.0027791070658741575,979,A1_early,directional_remove,-2.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_-2,mmlu_accuracy,accuracy,0.16,150,A1_early,directional_remove,-2.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_-2,exp3_reasoning_em,contains_em,0.01,100,A1_early,directional_remove,-2.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_1,structural_token_ratio,ratio,0.039604876968676234,979,A1_early,directional_remove,1.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_1,mmlu_accuracy,accuracy,0.56,150,A1_early,directional_remove,1.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_1,exp3_reasoning_em,contains_em,0.5,100,A1_early,directional_remove,1.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_-3,structural_token_ratio,ratio,0.01777901742121012,979,A1_early,directional_remove,-3.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_-3,mmlu_accuracy,accuracy,0.18,150,A1_early,directional_remove,-3.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_-3,exp3_reasoning_em,contains_em,0.0,100,A1_early,directional_remove,-3.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_0.75,structural_token_ratio,ratio,0.03966152941617168,979,A1_early,directional_remove,0.75,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_0.75,mmlu_accuracy,accuracy,0.5333333333333333,150,A1_early,directional_remove,0.75,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
A1early_alpha_0.75,exp3_reasoning_em,contains_em,0.48,100,A1_early,directional_remove,0.75,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
