model,prompt_id,event_kind,check_name,patch_input_delta_max_abs,common_it_margin_abs_delta,common_it_top1_equal
gemma3_4b,v2_GOV-FORMAT_0600,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0600,first_diff,U_IT__L_IT_noop_patch_vs_U_IT__L_IT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0608,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0608,first_diff,U_IT__L_IT_noop_patch_vs_U_IT__L_IT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0616,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0616,first_diff,U_IT__L_IT_noop_patch_vs_U_IT__L_IT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0624,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0624,first_diff,U_IT__L_IT_noop_patch_vs_U_IT__L_IT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0632,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0632,first_diff,U_IT__L_IT_noop_patch_vs_U_IT__L_IT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0640,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0640,first_diff,U_IT__L_IT_noop_patch_vs_U_IT__L_IT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0648,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0648,first_diff,U_IT__L_IT_noop_patch_vs_U_IT__L_IT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0656,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0656,first_diff,U_IT__L_IT_noop_patch_vs_U_IT__L_IT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0664,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0664,first_diff,U_IT__L_IT_noop_patch_vs_U_IT__L_IT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0672,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0672,first_diff,U_IT__L_IT_noop_patch_vs_U_IT__L_IT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0680,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0680,first_diff,U_IT__L_IT_noop_patch_vs_U_IT__L_IT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0688,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0688,first_diff,U_IT__L_IT_noop_patch_vs_U_IT__L_IT,0.0,0.0,True
gemma3_4b,v2_GOV-FORMAT_0696,first_diff,U_PT__L_PT_noop_patch_vs_U_PT__L_PT,0.0,0.0,True
