condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A5a_baseline,exp3_alignment_behavior,behavior_match,0.58,150,A5a,none,1.0,0.0,[]
A5a_baseline,exp3_reasoning_em,contains_em,0.53,200,A5a,none,1.0,0.0,[]
A5a_baseline,format_compliance_v2,compliance_rate,0.4835164835164835,182,A5a,none,1.0,0.0,[]
A5a_baseline,mmlu_forced_choice,accuracy,0.5066666666666667,300,A5a,none,1.0,0.0,[]
A5a_baseline,structural_token_ratio,ratio,0.04936480542251297,1400,A5a,none,1.0,0.0,[]
A5a_skip_from_20,exp3_alignment_behavior,behavior_match,0.8,150,A5a,progressive_skip,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_20,exp3_reasoning_em,contains_em,0.0,200,A5a,progressive_skip,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_20,format_compliance_v2,compliance_rate,0.26373626373626374,182,A5a,progressive_skip,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_20,mmlu_forced_choice,accuracy,0.13333333333333333,300,A5a,progressive_skip,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_20,structural_token_ratio,ratio,0.020698695157407403,1400,A5a,progressive_skip,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_21,exp3_alignment_behavior,behavior_match,0.78,150,A5a,progressive_skip,1.0,0.0,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_21,exp3_reasoning_em,contains_em,0.01,200,A5a,progressive_skip,1.0,0.0,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_21,format_compliance_v2,compliance_rate,0.29120879120879123,182,A5a,progressive_skip,1.0,0.0,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_21,mmlu_forced_choice,accuracy,0.20333333333333334,300,A5a,progressive_skip,1.0,0.0,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_21,structural_token_ratio,ratio,0.027826684859163602,1400,A5a,progressive_skip,1.0,0.0,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_22,exp3_alignment_behavior,behavior_match,0.8533333333333334,150,A5a,progressive_skip,1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_22,exp3_reasoning_em,contains_em,0.015,200,A5a,progressive_skip,1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_22,format_compliance_v2,compliance_rate,0.22527472527472528,182,A5a,progressive_skip,1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_22,mmlu_forced_choice,accuracy,0.25333333333333335,300,A5a,progressive_skip,1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_22,structural_token_ratio,ratio,0.0333414085719608,1400,A5a,progressive_skip,1.0,0.0,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_23,exp3_alignment_behavior,behavior_match,0.92,150,A5a,progressive_skip,1.0,0.0,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_23,exp3_reasoning_em,contains_em,0.025,200,A5a,progressive_skip,1.0,0.0,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_23,format_compliance_v2,compliance_rate,0.23626373626373626,182,A5a,progressive_skip,1.0,0.0,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_23,mmlu_forced_choice,accuracy,0.19333333333333333,300,A5a,progressive_skip,1.0,0.0,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_23,structural_token_ratio,ratio,0.04474298753401666,1400,A5a,progressive_skip,1.0,0.0,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_24,exp3_alignment_behavior,behavior_match,0.9266666666666666,150,A5a,progressive_skip,1.0,0.0,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_24,exp3_reasoning_em,contains_em,0.08,200,A5a,progressive_skip,1.0,0.0,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_24,format_compliance_v2,compliance_rate,0.27624309392265195,181,A5a,progressive_skip,1.0,0.0,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_24,mmlu_forced_choice,accuracy,0.51,300,A5a,progressive_skip,1.0,0.0,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_24,structural_token_ratio,ratio,0.06202107663268128,1400,A5a,progressive_skip,1.0,0.0,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_25,exp3_alignment_behavior,behavior_match,0.9466666666666667,150,A5a,progressive_skip,1.0,0.0,"[25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_25,exp3_reasoning_em,contains_em,0.12,200,A5a,progressive_skip,1.0,0.0,"[25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_25,format_compliance_v2,compliance_rate,0.27472527472527475,182,A5a,progressive_skip,1.0,0.0,"[25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_25,mmlu_forced_choice,accuracy,0.5,300,A5a,progressive_skip,1.0,0.0,"[25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_25,structural_token_ratio,ratio,0.07512931557361605,1400,A5a,progressive_skip,1.0,0.0,"[25, 26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_26,exp3_alignment_behavior,behavior_match,0.94,150,A5a,progressive_skip,1.0,0.0,"[26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_26,exp3_reasoning_em,contains_em,0.16,200,A5a,progressive_skip,1.0,0.0,"[26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_26,format_compliance_v2,compliance_rate,0.292817679558011,181,A5a,progressive_skip,1.0,0.0,"[26, 27, 28, 29, 30, 31, 32, 33]"
A5a_skip_from_26,mmlu_forced_choice,accuracy,0.49666666666666665,300,A5a,progressive_skip,1.0,0.0,"[26, 27, 28, 29, 30, 31, 32, 33]"
